"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "XML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\proyecto\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 22, 67
"c:\xampp\htdocs\proyecto\app\Console\Kernel.php", "PHP", 15, 0, 0, 0, 0, 0, 7, 6, 28
"c:\xampp\htdocs\proyecto\app\Exceptions\Handler.php", "PHP", 17, 0, 0, 0, 0, 0, 9, 5, 31
"c:\xampp\htdocs\proyecto\app\Filament\Resources\ProgramsResource.php", "PHP", 80, 0, 0, 0, 0, 0, 2, 9, 91
"c:\xampp\htdocs\proyecto\app\Filament\Resources\ProgramsResource\Pages\CreatePrograms.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\proyecto\app\Filament\Resources\ProgramsResource\Pages\EditPrograms.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\proyecto\app\Filament\Resources\ProgramsResource\Pages\ListPrograms.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\proyecto\app\Filament\Resources\RoleResource.php", "PHP", 73, 0, 0, 0, 0, 0, 2, 9, 84
"c:\xampp\htdocs\proyecto\app\Filament\Resources\RoleResource\Pages\CreateRole.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\proyecto\app\Filament\Resources\RoleResource\Pages\EditRole.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\proyecto\app\Filament\Resources\RoleResource\Pages\ListRoles.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\proyecto\app\Filament\Resources\UserResource.php", "PHP", 101, 0, 0, 0, 0, 0, 1, 10, 112
"c:\xampp\htdocs\proyecto\app\Filament\Resources\UserResource\Pages\CreateUser.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\proyecto\app\Filament\Resources\UserResource\Pages\EditUser.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\proyecto\app\Filament\Resources\UserResource\Pages\ListUsers.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\proyecto\app\Filament\Widgets\Estadistica0.php", "PHP", 15, 0, 0, 0, 0, 0, 6, 5, 26
"c:\xampp\htdocs\proyecto\app\Filament\Widgets\Estadistica1.php", "PHP", 25, 0, 0, 0, 0, 0, 1, 7, 33
"c:\xampp\htdocs\proyecto\app\Filament\Widgets\Estadistica2.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\xampp\htdocs\proyecto\app\Filament\Widgets\Estadistica3.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\xampp\htdocs\proyecto\app\Filament\Widgets\Estadistica4.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 29, 0, 0, 0, 0, 0, 9, 11, 49
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 29, 0, 0, 0, 0, 0, 6, 7, 42
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 17, 0, 0, 0, 0, 0, 3, 6, 26
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 40, 0, 0, 0, 0, 0, 14, 8, 62
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Auth\PasswordController.php", "PHP", 21, 0, 0, 0, 0, 0, 3, 6, 30
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 27, 0, 0, 0, 0, 0, 11, 7, 45
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 36, 0, 0, 0, 0, 0, 12, 14, 62
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 20, 0, 0, 0, 0, 0, 3, 6, 29
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Business\ProgramController.php", "PHP", 29, 0, 0, 0, 0, 0, 27, 10, 66
"c:\xampp\htdocs\proyecto\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\proyecto\app\Http\Controllers\HomeController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\proyecto\app\Http\Controllers\MetodoPagoController.php", "PHP", 11, 0, 0, 0, 0, 0, 13, 8, 32
"c:\xampp\htdocs\proyecto\app\Http\Controllers\ProfileController.php", "PHP", 38, 0, 0, 0, 0, 0, 9, 14, 61
"c:\xampp\htdocs\proyecto\app\Http\Controllers\StreamController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\proyecto\app\Http\Kernel.php", "PHP", 41, 0, 0, 0, 0, 0, 21, 7, 69
"c:\xampp\htdocs\proyecto\app\Http\Middleware\Authenticate.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\proyecto\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\proyecto\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\proyecto\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 20, 0, 0, 0, 0, 0, 5, 6, 31
"c:\xampp\htdocs\proyecto\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\proyecto\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\proyecto\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\proyecto\app\Http\Middleware\ValidateSignature.php", "PHP", 8, 0, 0, 0, 0, 0, 11, 4, 23
"c:\xampp\htdocs\proyecto\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\proyecto\app\Http\Requests\Auth\LoginRequest.php", "PHP", 51, 0, 0, 0, 0, 0, 21, 14, 86
"c:\xampp\htdocs\proyecto\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 15, 0, 0, 0, 0, 0, 5, 4, 24
"c:\xampp\htdocs\proyecto\app\Livewire\Business\Programs\ProgramComponent.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 16, 50
"c:\xampp\htdocs\proyecto\app\Livewire\PagoSuscripcion.php", "PHP", 63, 0, 0, 0, 0, 0, 9, 25, 97
"c:\xampp\htdocs\proyecto\app\Models\Avatars.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\xampp\htdocs\proyecto\app\Models\News.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 8, 33
"c:\xampp\htdocs\proyecto\app\Models\Programs.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 7, 28
"c:\xampp\htdocs\proyecto\app\Models\Role.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\proyecto\app\Models\Suscripcion.php", "PHP", 14, 0, 0, 0, 0, 0, 2, 8, 24
"c:\xampp\htdocs\proyecto\app\Models\User.php", "PHP", 48, 0, 0, 0, 0, 0, 24, 19, 91
"c:\xampp\htdocs\proyecto\app\Policies\RolePolicy.php", "PHP", 36, 0, 0, 0, 0, 0, 21, 10, 67
"c:\xampp\htdocs\proyecto\app\Policies\UserPolicy.php", "PHP", 35, 0, 0, 0, 0, 0, 22, 16, 73
"c:\xampp\htdocs\proyecto\app\Providers\AppServiceProvider.php", "PHP", 14, 0, 0, 0, 0, 0, 8, 5, 27
"c:\xampp\htdocs\proyecto\app\Providers\AuthServiceProvider.php", "PHP", 11, 0, 0, 0, 0, 0, 11, 5, 27
"c:\xampp\htdocs\proyecto\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 3, 5, 20
"c:\xampp\htdocs\proyecto\app\Providers\EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 12, 6, 39
"c:\xampp\htdocs\proyecto\app\Providers\Filament\AdminPanelProvider.php", "PHP", 60, 0, 0, 0, 0, 0, 1, 5, 66
"c:\xampp\htdocs\proyecto\app\Providers\RouteServiceProvider.php", "PHP", 24, 0, 0, 0, 0, 0, 10, 7, 41
"c:\xampp\htdocs\proyecto\app\View\Components\AppLayout.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\proyecto\app\View\Components\GuestLayout.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\proyecto\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 30, 9, 56
"c:\xampp\htdocs\proyecto\composer.json", "JSON", 0, 0, 0, 78, 0, 0, 0, 1, 79
"c:\xampp\htdocs\proyecto\composer.lock", "JSON", 0, 0, 0, 11542, 0, 0, 0, 1, 11543
"c:\xampp\htdocs\proyecto\config\app.php", "PHP", 28, 0, 0, 0, 0, 0, 131, 31, 190
"c:\xampp\htdocs\proyecto\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 74, 14, 116
"c:\xampp\htdocs\proyecto\config\broadcasting.php", "PHP", 36, 0, 0, 0, 0, 0, 23, 13, 72
"c:\xampp\htdocs\proyecto\config\cache.php", "PHP", 59, 0, 0, 0, 0, 0, 34, 19, 112
"c:\xampp\htdocs\proyecto\config\cors.php", "PHP", 3, 0, 0, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\proyecto\config\database.php", "PHP", 83, 0, 0, 0, 0, 0, 47, 22, 152
"c:\xampp\htdocs\proyecto\config\filament.php", "PHP", 6, 0, 0, 0, 0, 0, 26, 9, 41
"c:\xampp\htdocs\proyecto\config\filesystems.php", "PHP", 32, 0, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\proyecto\config\hashing.php", "PHP", 14, 0, 0, 0, 0, 0, 32, 9, 55
"c:\xampp\htdocs\proyecto\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 34, 19, 132
"c:\xampp\htdocs\proyecto\config\mail.php", "PHP", 54, 0, 0, 0, 0, 0, 54, 19, 127
"c:\xampp\htdocs\proyecto\config\permission.php", "PHP", 32, 0, 0, 0, 0, 0, 109, 46, 187
"c:\xampp\htdocs\proyecto\config\queue.php", "PHP", 51, 0, 0, 0, 0, 0, 42, 17, 110
"c:\xampp\htdocs\proyecto\config\sanctum.php", "PHP", 17, 0, 0, 0, 0, 0, 53, 14, 84
"c:\xampp\htdocs\proyecto\config\services.php", "PHP", 17, 0, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\proyecto\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\proyecto\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\proyecto\database\factories\UserFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 11, 6, 42
"c:\xampp\htdocs\proyecto\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 24, 0, 0, 0, 0, 0, 6, 4, 34
"c:\xampp\htdocs\proyecto\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 19, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\proyecto\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 6, 4, 33
"c:\xampp\htdocs\proyecto\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 24, 0, 0, 0, 0, 0, 6, 4, 34
"c:\xampp\htdocs\proyecto\database\migrations\2023_11_24_071716_create_permission_tables.php", "PHP", 109, 0, 0, 0, 0, 0, 6, 24, 139
"c:\xampp\htdocs\proyecto\database\migrations\2023_12_02_042203_create_avatars_table.php", "PHP", 22, 0, 0, 0, 0, 0, 6, 4, 32
"c:\xampp\htdocs\proyecto\database\migrations\2023_12_02_042417_create_programs_table.php", "PHP", 22, 0, 0, 0, 0, 0, 6, 4, 32
"c:\xampp\htdocs\proyecto\database\migrations\2023_12_02_042428_create_news_table.php", "PHP", 27, 0, 0, 0, 0, 0, 6, 4, 37
"c:\xampp\htdocs\proyecto\database\migrations\2023_12_04_064649_create_suscripcions_table.php", "PHP", 22, 0, 0, 0, 0, 0, 6, 4, 32
"c:\xampp\htdocs\proyecto\database\seeders\DatabaseSeeder.php", "PHP", 58, 0, 0, 0, 0, 0, 9, 14, 81
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\associate.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\attach.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\create.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\detach.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\dissociate.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\edit.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\force-delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
